Specie, Project, Run, Condition, Stress, Replicate, Level, Time, Cultivar, Tissue, Age/Dev-state, Genotype, Library
brna, PRJNA590544, SRR10556465, treated, cadmium-excess, 3, 10mg/ml, 10d, Zheyou29, shoot, 40d, G.0, single
brna, PRJNA590544, SRR10556466, treated, cadmium-excess, 2, 10mg/ml, 10d, Zheyou29, shoot, 40d, G.0, single
brna, PRJNA590544, SRR10556467, treated, cadmium-excess, 1, 10mg/ml, 10d, Zheyou29, shoot, 40d, G.0, single
brna, PRJNA590544, SRR10556468, treated, cadmium-excess, 3, 10mg/ml, 10d, Zheyou29, root, 40d, G.0, single
brna, PRJNA590544, SRR10556470, treated, cadmium-excess, 2, 10mg/ml, 10d, Zheyou29, root, 40d, G.0, single
brna, PRJNA590544, SRR10556471, treated, cadmium-excess, 1, 10mg/ml, 10d, Zheyou29, root, 40d, G.0, single
brna, PRJNA590544, SRR10556472, control, cadmium-excess, 3, 0mg/ml, 10d, Zheyou29, shoot, 40d, G.0, single
brna, PRJNA590544, SRR10556473, control, cadmium-excess, 2, 0mg/ml, 10d, Zheyou29, shoot, 40d, G.0, single
brna, PRJNA590544, SRR10556474, control, cadmium-excess, 1, 0mg/ml, 10d, Zheyou29, shoot, 40d, G.0, single
brna, PRJNA590544, SRR10556475, control, cadmium-excess, 3, 0mg/ml, 10d, Zheyou29, root, 40d, G.0, single
brna, PRJNA590544, SRR10556476, control, cadmium-excess, 2, 0mg/ml, 10d, Zheyou29, root, 40d, G.0, single
brna, PRJNA590544, SRR10556477, control, cadmium-excess, 1, 0mg/ml, 10d, Zheyou29, root, 40d, G.0, single
